base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
9,101,8,0.7515,0.7954,0.7475,0.7525,0.005,0.0644
9,101,9,0.7465,0.7904,0.7426,0.7525,0.005,0.0644
9,101,10,0.752,0.7723,0.7574,0.7525,0.005,0.0644
10,101,1,0.7387,0.797,0.7327,0.7624,0.005,0.0297
10,101,2,0.7387,0.797,0.7327,0.7624,0.005,0.0297
10,101,3,0.7387,0.797,0.7327,0.7624,0.005,0.0297
10,101,4,0.7387,0.797,0.7327,0.7624,0.005,0.0297
10,101,5,0.7333,0.7904,0.7277,0.7624,0.005,0.0297
10,101,6,0.7448,0.7921,0.7426,0.7624,0.005,0.0446
10,101,7,0.7464,0.797,0.7426,0.7624,0.005,0.0446
10,101,8,0.7508,0.797,0.7475,0.7624,0.005,0.0545
10,101,9,0.7585,0.797,0.7574,0.7624,0.005,0.0545
10,101,10,0.7615,0.7987,0.7624,0.7624,0.005,0.0545
