base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
8,81,5,0.8293,0.8498,0.8364,0.8272,0.0062,0.0617
8,81,6,0.8231,0.8313,0.8364,0.8272,0.0062,0.0617
8,81,7,0.8328,0.8436,0.8426,0.8272,0.0062,0.0617
8,81,8,0.8244,0.8395,0.8302,0.8272,0.0062,0.0617
8,81,9,0.8458,0.8621,0.8549,0.8272,0.0062,0.0741
8,81,10,0.8382,0.8436,0.8488,0.8272,0.0062,0.0741
9,81,1,0.8025,0.8045,0.8179,0.8364,0.0062,0.0154
9,81,2,0.8244,0.8241,0.8395,0.8364,0.0062,0.0401
9,81,3,0.8132,0.823,0.8241,0.8364,0.0062,0.0401
9,81,4,0.8277,0.8416,0.8364,0.8364,0.0062,0.0494
9,81,5,0.8277,0.8416,0.8364,0.8364,0.0062,0.0556
9,81,6,0.8333,0.8477,0.8426,0.8364,0.0062,0.0556
9,81,7,0.8327,0.8416,0.8426,0.8364,0.0062,0.0556
9,81,8,0.8325,0.823,0.8488,0.8364,0.0062,0.0556
9,81,9,0.8449,0.8498,0.8549,0.8364,0.0062,0.0679
9,81,10,0.8553,0.8621,0.8673,0.8364,0.0062,0.0679
10,81,1,0.7963,0.8107,0.8056,0.8364,0.0062,0.0154
10,81,2,0.8167,0.8292,0.8241,0.8364,0.0062,0.0401
10,81,3,0.8183,0.8374,0.8241,0.8364,0.0062,0.0401
10,81,4,0.836,0.8436,0.8426,0.8364,0.0062,0.0494
10,81,5,0.8355,0.8385,0.8457,0.8364,0.0062,0.0556
10,81,6,0.837,0.8405,0.8457,0.8364,0.0062,0.0556
10,81,7,0.8336,0.8467,0.8395,0.8364,0.0062,0.0556
10,81,8,0.8367,0.8395,0.8488,0.8364,0.0062,0.0556
10,81,9,0.852,0.856,0.8611,0.8364,0.0062,0.0679
10,81,10,0.8505,0.8539,0.8611,0.8364,0.0062,0.0679
