base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
1,81,1,0.7464,0.784,0.7438,0.6852,0.0,0.0586
1,81,2,0.8165,0.8272,0.8241,0.6852,0.0062,0.1389
1,81,3,0.7988,0.8193,0.8056,0.6852,0.0062,0.1451
1,81,4,0.8006,0.8148,0.8056,0.6852,0.0062,0.1543
1,81,5,0.8201,0.8354,0.8302,0.6852,0.0062,0.1667
1,81,6,0.8268,0.8457,0.8364,0.6852,0.0062,0.1914
1,81,7,0.8215,0.8374,0.8302,0.6852,0.0062,0.1914
1,81,8,0.8338,0.8498,0.8426,0.6852,0.0062,0.1914
1,81,9,0.8427,0.856,0.8549,0.6852,0.0062,0.2037
1,81,10,0.8453,0.8642,0.8549,0.6852,0.0062,0.2037
2,81,1,0.7806,0.8189,0.7809,0.7654,0.0,0.0401
2,81,2,0.8365,0.8601,0.8426,0.7654,0.0062,0.0895
2,81,3,0.8178,0.8272,0.8302,0.7654,0.0062,0.0895
2,81,4,0.8319,0.8457,0.8364,0.7654,0.0062,0.0988
2,81,5,0.8256,0.8498,0.8302,0.7654,0.0062,0.1111
2,81,6,0.8345,0.8663,0.8364,0.7654,0.0062,0.1235
2,81,7,0.8371,0.8642,0.8426,0.7654,0.0062,0.1235
2,81,8,0.8495,0.8765,0.8549,0.7654,0.0062,0.1235
2,81,9,0.8501,0.8827,0.8549,0.7654,0.0062,0.1358
2,81,10,0.8551,0.8683,0.8673,0.7654,0.0062,0.1358
3,81,1,0.8035,0.8333,0.8056,0.7716,0.0062,0.0401
3,81,2,0.8214,0.8354,0.8302,0.7716,0.0062,0.0833
3,81,3,0.8111,0.8292,0.8179,0.7716,0.0062,0.0833
3,81,4,0.8165,0.8272,0.8241,0.7716,0.0062,0.0926
3,81,5,0.8201,0.8241,0.8302,0.7716,0.0062,0.1049
3,81,6,0.8422,0.8652,0.8488,0.7716,0.0062,0.1173
3,81,7,0.8362,0.8621,0.8426,0.7716,0.0062,0.1173
3,81,8,0.8334,0.8498,0.8426,0.7716,0.0062,0.1173
3,81,9,0.8424,0.8683,0.8488,0.7716,0.0062,0.1296
3,81,10,0.8403,0.8621,0.8488,0.7716,0.0062,0.1296
4,81,1,0.8109,0.8354,0.8179,0.8025,0.0062,0.034
4,81,2,0.8206,0.8374,0.8302,0.8025,0.0062,0.0648
4,81,3,0.8184,0.8292,0.8302,0.8025,0.0062,0.0648
4,81,4,0.8259,0.8333,0.8364,0.8025,0.0062,0.0741
4,81,5,0.8365,0.8477,0.8426,0.8025,0.0062,0.0864
4,81,6,0.835,0.8416,0.8426,0.8025,0.0062,0.0864
4,81,7,0.8287,0.858,0.8302,0.8025,0.0062,0.0864
4,81,8,0.828,0.8374,0.8364,0.8025,0.0062,0.0864
4,81,9,0.8458,0.8745,0.8488,0.8025,0.0062,0.0988
4,81,10,0.8376,0.8621,0.8426,0.8025,0.0062,0.0988
5,81,1,0.8063,0.8107,0.8179,0.8148,0.0062,0.0216
5,81,2,0.8146,0.823,0.8241,0.8148,0.0062,0.0525
5,81,3,0.8187,0.8354,0.8241,0.8148,0.0062,0.0525
5,81,4,0.8297,0.8354,0.8364,0.8148,0.0062,0.0617
5,81,5,0.8276,0.8292,0.8364,0.8148,0.0062,0.0741
5,81,6,0.8269,0.8354,0.8364,0.8148,0.0062,0.0741
5,81,7,0.8226,0.8395,0.8302,0.8148,0.0062,0.0741
5,81,8,0.8266,0.8374,0.8364,0.8148,0.0062,0.0741
5,81,9,0.8355,0.8436,0.8488,0.8148,0.0062,0.0864
5,81,10,0.8376,0.8498,0.8488,0.8148,0.0062,0.0864
6,81,1,0.8144,0.8313,0.8241,0.821,0.0062,0.0216
6,81,2,0.8271,0.8313,0.8364,0.821,0.0062,0.0525
6,81,3,0.8271,0.8313,0.8364,0.821,0.0062,0.0525
6,81,4,0.8308,0.8416,0.8364,0.821,0.0062,0.0617
6,81,5,0.8421,0.8498,0.8488,0.821,0.0062,0.0679
6,81,6,0.8526,0.8621,0.8611,0.821,0.0062,0.0679
6,81,7,0.8235,0.8416,0.8302,0.821,0.0062,0.0679
6,81,8,0.8168,0.8313,0.8241,0.821,0.0062,0.0679
6,81,9,0.8445,0.8519,0.8549,0.821,0.0062,0.0802
6,81,10,0.8311,0.823,0.8457,0.821,0.0062,0.0802
7,81,1,0.806,0.8251,0.8117,0.821,0.0062,0.0216
7,81,2,0.8248,0.8416,0.8302,0.821,0.0062,0.0525
7,81,3,0.8127,0.8313,0.8179,0.821,0.0062,0.0525
7,81,4,0.8072,0.8189,0.8148,0.821,0.0062,0.0617
7,81,5,0.8102,0.8148,0.821,0.821,0.0062,0.0679
7,81,6,0.8331,0.8416,0.8426,0.821,0.0062,0.0679
7,81,7,0.8372,0.8539,0.8426,0.821,0.0062,0.0679
7,81,8,0.815,0.821,0.8241,0.821,0.0062,0.0679
7,81,9,0.8445,0.8642,0.8488,0.821,0.0062,0.0802
7,81,10,0.8395,0.8539,0.8488,0.821,0.0062,0.0802
8,81,1,0.8018,0.823,0.8117,0.8272,0.0062,0.0154
8,81,2,0.8254,0.8333,0.8364,0.8272,0.0062,0.0463
8,81,3,0.8269,0.8354,0.8364,0.8272,0.0062,0.0463
8,81,4,0.8168,0.8313,0.8241,0.8272,0.0062,0.0556
