base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
1,108,1,0.7538,0.7948,0.7508,0.7323,0.0,0.0231
1,108,2,0.7907,0.8086,0.7971,0.7323,0.0046,0.0648
1,108,3,0.7912,0.804,0.7971,0.7323,0.0046,0.0898
1,108,4,0.8236,0.841,0.8279,0.7323,0.0046,0.1323
1,108,5,0.8203,0.838,0.8233,0.7323,0.0046,0.1323
1,108,6,0.8139,0.8272,0.8187,0.7323,0.0046,0.1341
1,108,7,0.8262,0.8395,0.831,0.7323,0.0046,0.139
1,108,8,0.837,0.8441,0.8449,0.7323,0.0046,0.1437
1,108,9,0.8398,0.8495,0.8495,0.7323,0.0046,0.1576
1,108,10,0.8395,0.841,0.8495,0.7323,0.0046,0.1576
2,108,1,0.8202,0.8272,0.8295,0.8267,0.0046,0.0093
2,108,2,0.8293,0.841,0.8387,0.8267,0.0046,0.0185
2,108,3,0.8215,0.8364,0.8295,0.8267,0.0046,0.025
2,108,4,0.8466,0.8596,0.8534,0.8267,0.0046,0.0674
2,108,5,0.8481,0.8657,0.8511,0.8267,0.0046,0.0674
2,108,6,0.8494,0.8596,0.8557,0.8267,0.0046,0.0674
2,108,7,0.854,0.8673,0.8588,0.8267,0.0046,0.0724
2,108,8,0.8637,0.8812,0.8681,0.8267,0.0046,0.077
2,108,9,0.8605,0.8742,0.8681,0.8267,0.0046,0.0909
2,108,10,0.8717,0.8765,0.8819,0.8267,0.0046,0.0909
3,108,1,0.8319,0.8457,0.8395,0.8506,0.0046,0.0
3,108,2,0.8273,0.841,0.8349,0.8506,0.0046,0.0093
3,108,3,0.8242,0.8318,0.8349,0.8506,0.0046,0.0157
3,108,4,0.8525,0.8549,0.8627,0.8506,0.0046,0.0528
3,108,5,0.8518,0.8503,0.8627,0.8506,0.0046,0.0528
3,108,6,0.8463,0.8503,0.8557,0.8506,0.0046,0.0528
3,108,7,0.8583,0.8642,0.8681,0.8506,0.0046,0.0577
3,108,8,0.8576,0.8642,0.8681,0.8506,0.0046,0.0623
3,108,9,0.8729,0.8835,0.8819,0.8506,0.0046,0.0762
3,108,10,0.8829,0.8889,0.8912,0.8506,0.0046,0.0762
4,108,1,0.8319,0.8457,0.8395,0.8552,0.0046,0.0
4,108,2,0.8365,0.8503,0.8441,0.8552,0.0046,0.0093
4,108,3,0.8378,0.8488,0.8441,0.8552,0.0046,0.0157
4,108,4,0.8636,0.8688,0.8719,0.8552,0.0046,0.0528
4,108,5,0.8633,0.8673,0.8719,0.8552,0.0046,0.0528
4,108,6,0.8565,0.8519,0.8696,0.8552,0.0046,0.0528
4,108,7,0.859,0.8565,0.8727,0.8552,0.0046,0.0577
4,108,8,0.8711,0.8765,0.8819,0.8552,0.0046,0.0577
4,108,9,0.8784,0.8796,0.8912,0.8552,0.0046,0.0716
4,108,10,0.8824,0.8873,0.8912,0.8552,0.0046,0.0716
5,108,1,0.8491,0.858,0.858,0.8738,0.0046,0.0
5,108,2,0.8584,0.8673,0.8673,0.8738,0.0046,0.0093
5,108,3,0.8568,0.8611,0.8673,0.8738,0.0046,0.0157
5,108,4,0.8709,0.8719,0.8812,0.8738,0.0046,0.0435
5,108,5,0.8702,0.8688,0.8812,0.8738,0.0046,0.0435
5,108,6,0.877,0.8765,0.8881,0.8738,0.0046,0.0435
5,108,7,0.8748,0.8765,0.8866,0.8738,0.0046,0.0485
5,108,8,0.8753,0.8796,0.8866,0.8738,0.0046,0.0485
5,108,9,0.881,0.8858,0.8912,0.8738,0.0046,0.0531
5,108,10,0.8801,0.8796,0.8912,0.8738,0.0046,0.0531
6,108,1,0.841,0.848,0.8557,0.8738,0.0046,0.0
6,108,2,0.8488,0.8526,0.865,0.8738,0.0046,0.0093
6,108,3,0.8513,0.8534,0.865,0.8738,0.0046,0.0157
6,108,4,0.8755,0.8765,0.8881,0.8738,0.0046,0.0435
6,108,5,0.8752,0.8781,0.8858,0.8738,0.0046,0.0435
6,108,6,0.875,0.8735,0.8858,0.8738,0.0046,0.0435
6,108,7,0.8788,0.8812,0.8889,0.8738,0.0046,0.0485
6,108,8,0.8737,0.875,0.8866,0.8738,0.0046,0.0485
6,108,9,0.8859,0.8904,0.8958,0.8738,0.0046,0.0531
6,108,10,0.8865,0.8951,0.8935,0.8738,0.0046,0.0531
7,108,1,0.8521,0.8627,0.8588,0.8769,0.0046,0.0
7,108,2,0.8603,0.8719,0.8681,0.8769,0.0046,0.0093
7,108,3,0.8588,0.8673,0.8681,0.8769,0.0046,0.0157
7,108,4,0.8825,0.8889,0.8912,0.8769,0.0046,0.0435
7,108,5,0.8776,0.8765,0.8889,0.8769,0.0046,0.0435
7,108,6,0.8845,0.8873,0.8935,0.8769,0.0046,0.0435
7,108,7,0.8788,0.8719,0.8935,0.8769,0.0046,0.0454
7,108,8,0.8777,0.8781,0.8912,0.8769,0.0046,0.0454
7,108,9,0.883,0.8843,0.8958,0.8769,0.0046,0.05
7,108,10,0.8898,0.9028,0.8958,0.8769,0.0046,0.05
8,108,1,0.844,0.8488,0.8542,0.8815,0.0046,0.0
8,108,2,0.863,0.8719,0.8727,0.8815,0.0046,0.0093
8,108,3,0.8578,0.8627,0.8681,0.8815,0.0046,0.0157
8,108,4,0.8844,0.8858,0.8958,0.8815,0.0046,0.0435
8,108,5,0.8795,0.8735,0.8935,0.8815,0.0046,0.0435
8,108,6,0.8872,0.8873,0.8981,0.8815,0.0046,0.0435
8,108,7,0.8777,0.8796,0.8889,0.8815,0.0046,0.0454
8,108,8,0.8852,0.8904,0.8958,0.8815,0.0046,0.0454
8,108,9,0.8861,0.8858,0.8981,0.8815,0.0046,0.0454
8,108,10,0.8872,0.8966,0.8958,0.8815,0.0046,0.0454
9,108,1,0.8641,0.8735,0.8727,0.8907,0.0046,0.0
9,108,2,0.8548,0.8642,0.8634,0.8907,0.0046,0.0
9,108,3,0.8548,0.8642,0.8634,0.8907,0.0046,0.0065
9,108,4,0.8762,0.8781,0.8866,0.8907,0.0046,0.0343
9,108,5,0.8744,0.875,0.8843,0.8907,0.0046,0.0343
9,108,6,0.8806,0.8843,0.8889,0.8907,0.0046,0.0343
9,108,7,0.8872,0.8873,0.8981,0.8907,0.0046,0.0361
9,108,8,0.8876,0.8904,0.8981,0.8907,0.0046,0.0361
9,108,9,0.8861,0.8935,0.8958,0.8907,0.0046,0.0361
9,108,10,0.8852,0.8889,0.8958,0.8907,0.0046,0.0361
10,108,1,0.8567,0.8673,0.8634,0.9,0.0065,0.0
10,108,2,0.8619,0.8765,0.8681,0.9,0.0065,0.0
