base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
5,73,2,0.8269,0.847,0.8333,0.7922,0.0342,0.0479
5,73,3,0.8201,0.8402,0.8265,0.7922,0.0342,0.0479
5,73,4,0.8177,0.8288,0.8265,0.7922,0.0342,0.0479
5,73,5,0.8245,0.8356,0.8333,0.7922,0.0342,0.0479
5,73,6,0.8256,0.8402,0.8356,0.7922,0.0342,0.0685
5,73,7,0.8348,0.8447,0.8493,0.7922,0.0342,0.0753
5,73,8,0.8649,0.8721,0.8744,0.7922,0.0274,0.0959
5,73,9,0.862,0.8687,0.8744,0.7922,0.0274,0.0959
5,73,10,0.8609,0.8744,0.8676,0.7922,0.0274,0.0959
6,73,1,0.8287,0.8288,0.8402,0.8059,0.0342,0.0342
6,73,2,0.8234,0.8242,0.8356,0.8059,0.0342,0.0342
6,73,3,0.8226,0.8174,0.8356,0.8059,0.0342,0.0342
6,73,4,0.8216,0.8174,0.8356,0.8059,0.0342,0.0342
6,73,5,0.8201,0.8174,0.8356,0.8059,0.0342,0.0342
6,73,6,0.8337,0.8288,0.8493,0.8059,0.0342,0.0548
6,73,7,0.846,0.8584,0.8562,0.8059,0.0342,0.0616
6,73,8,0.8587,0.8721,0.863,0.8059,0.0274,0.0822
6,73,9,0.875,0.8858,0.8813,0.8059,0.0274,0.0822
6,73,10,0.8633,0.8721,0.8699,0.8059,0.0274,0.0822
7,73,1,0.8242,0.8174,0.8402,0.8128,0.0342,0.0274
7,73,2,0.8233,0.8219,0.8356,0.8128,0.0342,0.0274
7,73,3,0.821,0.8151,0.8356,0.8128,0.0342,0.0274
7,73,4,0.8132,0.8105,0.8288,0.8128,0.0342,0.0274
7,73,5,0.8125,0.8037,0.8288,0.8128,0.0342,0.0274
7,73,6,0.8407,0.8402,0.8562,0.8128,0.0342,0.0479
7,73,7,0.8414,0.847,0.8562,0.8128,0.0342,0.0548
7,73,8,0.8566,0.8699,0.863,0.8128,0.0274,0.0753
7,73,9,0.8702,0.8813,0.8767,0.8128,0.0274,0.0753
7,73,10,0.8647,0.8836,0.8699,0.8128,0.0274,0.0753
8,73,1,0.8235,0.8265,0.8402,0.8333,0.0342,0.0137
8,73,2,0.8277,0.8333,0.8425,0.8333,0.0342,0.0137
8,73,3,0.831,0.8356,0.847,0.8333,0.0342,0.0137
8,73,4,0.8302,0.8288,0.847,0.8333,0.0342,0.0137
8,73,5,0.8348,0.8425,0.847,0.8333,0.0342,0.0137
8,73,6,0.8466,0.863,0.8562,0.8333,0.0342,0.0342
8,73,7,0.8458,0.8425,0.863,0.8333,0.0342,0.0411
8,73,8,0.8695,0.8653,0.8836,0.8333,0.0274,0.0616
8,73,9,0.877,0.8858,0.8836,0.8333,0.0274,0.0616
8,73,10,0.8788,0.895,0.8836,0.8333,0.0274,0.0616
9,73,1,0.8387,0.8361,0.8562,0.8539,0.0274,0.0137
9,73,2,0.8419,0.8447,0.8562,0.8539,0.0274,0.0137
9,73,3,0.8425,0.847,0.8562,0.8539,0.0274,0.0137
9,73,4,0.8433,0.8539,0.8562,0.8539,0.0274,0.0137
9,73,5,0.8405,0.8356,0.8562,0.8539,0.0274,0.0137
9,73,6,0.8631,0.8676,0.8767,0.8539,0.0274,0.0342
9,73,7,0.8692,0.8676,0.8836,0.8539,0.0274,0.0411
9,73,8,0.8868,0.8904,0.8973,0.8539,0.0274,0.0548
9,73,9,0.8876,0.8858,0.8973,0.8539,0.0274,0.0548
9,73,10,0.8855,0.8858,0.8973,0.8539,0.0274,0.0548
10,73,1,0.8521,0.8447,0.8676,0.8607,0.0274,0.0137
10,73,2,0.854,0.8516,0.8676,0.8607,0.0274,0.0137
10,73,3,0.8491,0.8447,0.863,0.8607,0.0274,0.0137
10,73,4,0.8486,0.847,0.863,0.8607,0.0274,0.0137
10,73,5,0.8486,0.847,0.863,0.8607,0.0274,0.0137
10,73,6,0.8699,0.8744,0.8836,0.8607,0.0274,0.0342
10,73,7,0.8687,0.8699,0.8836,0.8607,0.0274,0.0342
10,73,8,0.8876,0.8984,0.8973,0.8607,0.0274,0.0479
10,73,9,0.8805,0.8733,0.8973,0.8607,0.0274,0.0479
10,73,10,0.8733,0.8836,0.8836,0.8607,0.0274,0.0479
