base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
1,73,1,0.7254,0.7511,0.726,0.6438,0.0205,0.0685
1,73,2,0.7246,0.7443,0.726,0.6438,0.0205,0.0753
1,73,3,0.7551,0.7717,0.7603,0.6438,0.0205,0.1233
1,73,4,0.7592,0.7626,0.7671,0.6438,0.0274,0.1301
1,73,5,0.7956,0.8219,0.7991,0.6438,0.0342,0.1621
1,73,6,0.8123,0.8219,0.8265,0.6438,0.0342,0.1826
1,73,7,0.8208,0.8333,0.8333,0.6438,0.0342,0.1895
1,73,8,0.8281,0.8402,0.8402,0.6438,0.0274,0.21
1,73,9,0.8299,0.8607,0.8333,0.6438,0.0274,0.2169
1,73,10,0.8501,0.8744,0.8562,0.6438,0.0274,0.2306
2,73,1,0.7634,0.7854,0.7648,0.7237,0.0205,0.0479
2,73,2,0.7558,0.7648,0.7603,0.7237,0.0205,0.0479
2,73,3,0.7467,0.7511,0.7534,0.7237,0.0205,0.0479
2,73,4,0.7653,0.774,0.7717,0.7237,0.0274,0.0548
2,73,5,0.795,0.8196,0.7991,0.7237,0.0342,0.0822
2,73,6,0.8118,0.8151,0.8265,0.7237,0.0342,0.1027
2,73,7,0.8239,0.8288,0.8402,0.7237,0.0342,0.1096
2,73,8,0.8336,0.8379,0.847,0.7237,0.0274,0.1301
2,73,9,0.8443,0.8653,0.847,0.7237,0.0274,0.137
2,73,10,0.8571,0.8813,0.8607,0.7237,0.0274,0.1507
3,73,1,0.7614,0.774,0.7717,0.7374,0.0274,0.0479
3,73,2,0.7695,0.7785,0.774,0.7374,0.0274,0.0479
3,73,3,0.7688,0.7854,0.774,0.7374,0.0274,0.0479
3,73,4,0.7626,0.7694,0.774,0.7374,0.0274,0.0479
3,73,5,0.7972,0.8014,0.8082,0.7374,0.0342,0.0685
3,73,6,0.808,0.8288,0.8196,0.7374,0.0342,0.089
3,73,7,0.817,0.8288,0.8333,0.7374,0.0342,0.0959
3,73,8,0.819,0.8402,0.8333,0.7374,0.0274,0.1164
3,73,9,0.8305,0.8493,0.8402,0.7374,0.0274,0.1233
3,73,10,0.8457,0.8607,0.8539,0.7374,0.0274,0.137
4,73,1,0.7764,0.7945,0.7854,0.7511,0.0342,0.0479
4,73,2,0.776,0.7877,0.7854,0.7511,0.0342,0.0479
4,73,3,0.7692,0.7813,0.7808,0.7511,0.0342,0.0479
4,73,4,0.7667,0.7717,0.7808,0.7511,0.0342,0.0479
4,73,5,0.7878,0.7922,0.8014,0.7511,0.0342,0.0616
4,73,6,0.7999,0.8037,0.8151,0.7511,0.0342,0.0822
4,73,7,0.806,0.8219,0.8219,0.7511,0.0342,0.089
4,73,8,0.8316,0.8368,0.847,0.7511,0.0274,0.1096
4,73,9,0.8321,0.8356,0.847,0.7511,0.0274,0.1096
4,73,10,0.8422,0.8562,0.8539,0.7511,0.0274,0.1233
5,73,1,0.8234,0.8356,0.8333,0.7922,0.0342,0.0479
