base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
1,109,1,0.6794,0.7018,0.6835,0.6009,0.0092,0.1009
1,109,2,0.6996,0.708,0.711,0.6009,0.0092,0.133
1,109,3,0.7102,0.7171,0.7202,0.6009,0.0092,0.1697
1,109,4,0.7102,0.7171,0.7202,0.6009,0.0092,0.1743
1,109,5,0.745,0.7599,0.7523,0.6009,0.0092,0.2064
1,109,6,0.7678,0.7676,0.7798,0.6009,0.0092,0.2156
1,109,7,0.7672,0.7706,0.7798,0.6009,0.0092,0.2248
1,109,8,0.755,0.7821,0.7615,0.6009,0.0092,0.2248
1,109,9,0.7615,0.7798,0.7661,0.6009,0.0092,0.2248
1,109,10,0.76,0.7714,0.7706,0.6009,0.0092,0.2248
2,109,1,0.689,0.6881,0.7018,0.6651,0.0046,0.0734
2,109,2,0.6895,0.6927,0.7018,0.6651,0.0046,0.0917
2,109,3,0.7092,0.708,0.7248,0.6651,0.0046,0.1284
2,109,4,0.7259,0.7125,0.7477,0.6651,0.0046,0.133
2,109,5,0.7393,0.7446,0.7523,0.6651,0.0046,0.1606
2,109,6,0.7463,0.7477,0.7615,0.6651,0.0046,0.1697
2,109,7,0.7507,0.7592,0.7661,0.6651,0.0046,0.1789
2,109,8,0.7504,0.7607,0.7661,0.6651,0.0046,0.1789
2,109,9,0.7441,0.7523,0.7569,0.6651,0.0046,0.1789
2,109,10,0.7489,0.7615,0.7661,0.6651,0.0046,0.1789
3,109,1,0.724,0.7064,0.7431,0.7202,0.0046,0.0505
3,109,2,0.7193,0.7064,0.7385,0.7202,0.0046,0.0642
3,109,3,0.7316,0.7263,0.7477,0.7202,0.0046,0.0917
3,109,4,0.722,0.7156,0.7385,0.7202,0.0046,0.0963
3,109,5,0.7474,0.7523,0.7615,0.7202,0.0046,0.1147
3,109,6,0.7489,0.7538,0.7615,0.7202,0.0046,0.1239
3,109,7,0.7632,0.7737,0.7752,0.7202,0.0046,0.133
3,109,8,0.7739,0.7783,0.789,0.7202,0.0046,0.133
3,109,9,0.7717,0.7722,0.7844,0.7202,0.0046,0.133
3,109,10,0.7694,0.7714,0.7844,0.7202,0.0046,0.133
4,109,1,0.7349,0.7171,0.7523,0.7477,0.0046,0.0459
4,109,2,0.7317,0.7217,0.7477,0.7477,0.0046,0.055
4,109,3,0.7367,0.7355,0.7477,0.7477,0.0046,0.0826
4,109,4,0.7193,0.7171,0.7339,0.7477,0.0046,0.0826
4,109,5,0.7537,0.7408,0.7752,0.7477,0.0046,0.1009
4,109,6,0.7591,0.7538,0.7752,0.7477,0.0046,0.1101
4,109,7,0.7642,0.7645,0.7798,0.7477,0.0046,0.1193
4,109,8,0.7795,0.7829,0.7936,0.7477,0.0046,0.1193
4,109,9,0.7652,0.7653,0.7798,0.7477,0.0046,0.1193
4,109,10,0.7726,0.7668,0.7936,0.7477,0.0046,0.1193
5,109,1,0.7325,0.7141,0.7523,0.7661,0.0046,0.0459
5,109,2,0.7448,0.7248,0.7661,0.7661,0.0046,0.055
5,109,3,0.7479,0.7355,0.7661,0.7661,0.0046,0.0734
5,109,4,0.7351,0.7294,0.7523,0.7661,0.0046,0.0734
5,109,5,0.7495,0.7339,0.7706,0.7661,0.0046,0.0826
5,109,6,0.7544,0.7569,0.7706,0.7661,0.0046,0.0917
5,109,7,0.757,0.7576,0.7752,0.7661,0.0046,0.1009
5,109,8,0.7695,0.7661,0.789,0.7661,0.0046,0.1009
5,109,9,0.7697,0.7661,0.7844,0.7661,0.0046,0.1009
5,109,10,0.7692,0.7706,0.7798,0.7661,0.0046,0.1009
6,109,1,0.7501,0.7271,0.7798,0.7706,0.0046,0.0459
6,109,2,0.7501,0.7271,0.7798,0.7706,0.0046,0.0505
6,109,3,0.7538,0.7439,0.7752,0.7706,0.0046,0.0688
6,109,4,0.7575,0.7439,0.7798,0.7706,0.0046,0.0688
6,109,5,0.7651,0.7576,0.7844,0.7706,0.0046,0.078
6,109,6,0.7577,0.7508,0.7798,0.7706,0.0046,0.0872
6,109,7,0.7804,0.7783,0.7982,0.7706,0.0046,0.0963
6,109,8,0.7847,0.7714,0.8073,0.7706,0.0046,0.0963
6,109,9,0.75,0.75,0.7661,0.7706,0.0046,0.0963
6,109,10,0.7523,0.7485,0.7661,0.7706,0.0046,0.0963
7,109,1,0.759,0.7378,0.789,0.7844,0.0046,0.0413
7,109,2,0.7535,0.7347,0.7798,0.7844,0.0046,0.0459
7,109,3,0.7774,0.7653,0.8028,0.7844,0.0046,0.0642
7,109,4,0.7672,0.7485,0.7936,0.7844,0.0046,0.0642
7,109,5,0.762,0.7454,0.789,0.7844,0.0046,0.0642
7,109,6,0.7607,0.7485,0.7844,0.7844,0.0046,0.0734
7,109,7,0.7762,0.7714,0.7936,0.7844,0.0046,0.0826
7,109,8,0.7682,0.7653,0.789,0.7844,0.0046,0.0826
7,109,9,0.7692,0.7599,0.789,0.7844,0.0046,0.0826
7,109,10,0.7816,0.7867,0.7936,0.7844,0.0046,0.0826
