base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
8,109,1,0.7688,0.7454,0.7936,0.7982,0.0138,0.0367
8,109,2,0.7673,0.7408,0.7936,0.7982,0.0138,0.0413
8,109,3,0.7603,0.7332,0.7844,0.7982,0.0138,0.0596
8,109,4,0.7692,0.7469,0.7936,0.7982,0.0138,0.0596
8,109,5,0.7743,0.7653,0.7936,0.7982,0.0138,0.0596
8,109,6,0.7754,0.7607,0.7982,0.7982,0.0138,0.0688
8,109,7,0.7674,0.7661,0.7844,0.7982,0.0138,0.078
8,109,8,0.7592,0.7645,0.7752,0.7982,0.0138,0.078
8,109,9,0.7525,0.7492,0.7752,0.7982,0.0138,0.078
8,109,10,0.7636,0.7584,0.7844,0.7982,0.0138,0.078
9,109,1,0.7476,0.7385,0.7706,0.8028,0.0138,0.0367
9,109,2,0.7279,0.7148,0.7523,0.8028,0.0138,0.0367
9,109,3,0.7417,0.7378,0.7615,0.8028,0.0138,0.055
9,109,4,0.7584,0.75,0.7798,0.8028,0.0138,0.055
9,109,5,0.7449,0.7347,0.7661,0.8028,0.0138,0.055
9,109,6,0.7451,0.7339,0.7661,0.8028,0.0138,0.0642
9,109,7,0.7526,0.7408,0.7706,0.8028,0.0138,0.0734
9,109,8,0.7568,0.7462,0.7798,0.8028,0.0138,0.0734
9,109,9,0.7521,0.7531,0.7706,0.8028,0.0138,0.0734
9,109,10,0.7672,0.7615,0.7936,0.8028,0.0138,0.0734
10,109,1,0.7232,0.7202,0.7385,0.8028,0.0138,0.0367
10,109,2,0.7145,0.7141,0.7294,0.8028,0.0138,0.0367
10,109,3,0.7329,0.7263,0.7523,0.8028,0.0138,0.055
10,109,4,0.7386,0.7286,0.7615,0.8028,0.0138,0.055
10,109,5,0.7469,0.7485,0.7661,0.8028,0.0138,0.055
10,109,6,0.7407,0.7339,0.7569,0.8028,0.0138,0.0642
10,109,7,0.7545,0.7439,0.7752,0.8028,0.0138,0.0734
10,109,8,0.751,0.7408,0.7706,0.8028,0.0138,0.0734
10,109,9,0.7694,0.7592,0.789,0.8028,0.0138,0.0734
10,109,10,0.7718,0.7679,0.789,0.8028,0.0138,0.0734
